SOG_ID,LAU_ID,LAU_NAME,AREA_KM2,POP_2023,stations_count,stations_unique,stations_density_km2,stations_with_operator_share,operator_count,stations_per_10k_pop,stations_within_1km_count,stations_within_5km_count,stations_in_muni_plus_1km_count,stations_in_muni_plus_5km_count,min_distance_km_to_station,mean_distance_km_to_station,accessible_count,accessible_share,category_connectivity
ES_05160,05160,Navalosa,10.79626797,324.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05163,05163,Navaluenga,29.54892011,2172.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05164,05164,Navaquesera,4.24144118,39.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05165,05165,Navarredonda de Gredos,5.73611187,452.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05166,05166,Navarredondilla,8.68278836,176.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05167,05167,Navarrevisca,7.69385226,308.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05169,05169,Navatalgordo,11.81781837,237.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05170,05170,Navatejares,4.97339276,55.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05171,05171,Neila de San Miguel,7.84660114,62.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05172,05172,Niharra,16.57598458,187.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05174,05174,Orbita,4.94209939,71.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05175,05175,"Oso, El",7.18904564,133.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
