SOG_ID,LAU_ID,LAU_NAME,AREA_KM2,POP_2023,stations_count,stations_unique,stations_density_km2,stations_with_operator_share,operator_count,stations_per_10k_pop,stations_within_1km_count,stations_within_5km_count,stations_in_muni_plus_1km_count,stations_in_muni_plus_5km_count,min_distance_km_to_station,mean_distance_km_to_station,accessible_count,accessible_share,category_connectivity
ES_41069,41069,"Palacios y Villafranca, Los",353.83528222,38700.0,6,6,0.016957042730039146,0.6666666666666666,4,1.5503875968992247,0,6,6,8,1.0587248626208574,16.983969466013896,0,0.0,directo
ES_41070,41070,Palomares del Río,699.08453815,9161.0,4,4,0.0057217686584590645,0.0,0,4.366335552887239,0,52,16,109,1.35574511652399,13.628827283263304,0,0.0,directo
ES_41071,41071,Paradas,62.17382564,6829.0,0,0,0.0,0.0,0,0.0,0,0,3,7,6.405025707891755,8.5409498633121,0,0.0,funcional
ES_41072,41072,Pedrera,84.75311944,5138.0,3,3,0.03539692721426986,0.3333333333333333,1,5.838847800700662,0,3,3,4,2.7956072794048663,12.726876218380445,0,0.0,directo
ES_41073,41073,"Pedroso, El",6.54110211,2055.0,4,4,0.6115177431468044,0.0,0,19.464720194647203,0,0,4,4,7.744405590473569,10.114573243403374,0,0.0,directo
ES_41074,41074,Peñaflor,44.03470011,3651.0,3,3,0.06812808972255767,0.3333333333333333,1,8.216926869350862,0,2,4,7,4.338057789625857,11.119578988628755,0,0.0,directo
ES_41076,41076,Pruna,25.49664329,2566.0,0,0,0.0,0.0,0,0.0,0,0,0,24,10.347827359488805,10.865715764969403,0,0.0,periferico
ES_41077,41077,"Puebla de Cazalla, La",57.34962657,10884.0,0,0,0.0,0.0,0,0.0,0,0,0,0,20.438350875143186,,0,0.0,aislado
ES_41079,41079,"Puebla del Río, La",31.63946135,11854.0,13,13,0.41087930847470006,0.0,0,10.966762274337777,0,6,23,46,4.150907052171384,7.783695137765715,0,0.0,directo
ES_41080,41080,"Real de la Jara, El",9.6771227,1523.0,0,0,0.0,0.0,0,0.0,0,0,0,0,11.367955085603555,11.367955085603555,0,0.0,aislado
ES_41081,41081,"Rinconada, La",290.03379301,40176.0,64,64,0.2206639417283122,0.53125,34,15.929908403026683,0,8,70,413,2.690232089243337,14.289812356752922,5,0.078125,directo
ES_41082,41082,"Roda de Andalucía, La",54.87980925,4214.0,3,3,0.05466491303447816,0.3333333333333333,1,7.119126720455625,2,3,4,10,0.3584886310817394,10.356439761438384,0,0.0,directo
ES_41083,41083,"Ronquillo, El",18.7969005,1437.0,3,3,0.1596007809904617,0.0,0,20.876826722338205,0,3,3,3,3.003959182386437,9.834452843178623,0,0.0,directo
ES_41084,41084,"Rubio, El",159.44362422,3316.0,1,1,0.006271809267332019,0.0,0,3.0156815440289506,0,1,1,1,2.5087919581870923,15.22505996443153,0,0.0,directo
ES_41086,41086,San Juan de Aznalfarache,5541.15637903,22685.0,34,34,0.006135903351991634,0.08823529411764706,3,14.987877452060834,25,361,60,875,0.2350970611192383,8.731152791050162,6,0.17647058823529413,directo
ES_41087,41087,Sanlúcar la Mayor,104.49942553,14161.0,6,6,0.05741658357994995,0.16666666666666666,1,4.236988913212344,0,3,9,24,3.118173556094918,16.005623138446264,0,0.0,directo
ES_41089,41089,Santiponce,1025.3663194,8585.0,7,7,0.006826828488082286,0.14285714285714285,1,8.1537565521258,1,79,64,933,0.911623760543872,9.934041832329275,0,0.0,directo
ES_41091,41091,Sevilla,4820.93646223,684164.0,2143,2143,0.4445194448816116,0.17125524965002334,367,31.32289918791401,85,1525,2207,2523,0.07240912306698927,5.959165490483323,84,0.03919738684087728,directo
ES_41092,41092,Tocina,604.32461159,9420.0,8,8,0.013237918573184881,0.25,2,8.492569002123142,3,10,10,16,0.5186919760186633,6.838630762078753,0,0.0,directo
ES_41093,41093,Tomares,4943.63862174,25492.0,20,20,0.004045603153929695,0.05,1,7.845598619174643,10,275,59,825,0.16132688493184447,9.654173326451717,0,0.0,directo
ES_41094,41094,Umbrete,754.89868588,9371.0,0,0,0.0,0.0,0,0.0,0,9,1,21,3.6963256660658823,15.990132923598528,0,0.0,funcional
ES_41096,41096,Valencina de la Concepción,320.87208503,8042.0,10,10,0.031165066911523476,0.4,4,12.434717731907485,0,28,37,264,1.784606732421353,12.435047207084992,0,0.0,directo
ES_41097,41097,Villamanrique de la Condesa,80.43269168,4638.0,0,0,0.0,0.0,0,0.0,0,0,0,4,10.327899210101725,14.796796336021904,0,0.0,periferico
ES_41098,41098,Villanueva del Ariscal,1460.45813131,6843.0,3,3,0.0020541499517751074,0.3333333333333333,1,4.384042086804033,0,10,3,23,1.1448434346084124,16.93398200647332,1,0.3333333333333333,directo
ES_41099,41099,Villanueva del Río y Minas,32.83349151,4951.0,4,4,0.12182682425905669,0.5,2,8.079175924055747,2,4,12,19,0.7980737385821691,9.992688065730462,0,0.0,directo
ES_41101,41101,Villaverde del Río,187.13193213,7697.0,0,0,0.0,0.0,0,0.0,0,0,0,4,7.293811834567758,17.06909788891426,0,0.0,periferico
ES_41102,41102,"Viso del Alcor, El",952.56330954,19262.0,1,1,0.0010497989897205967,0.0,0,0.5191568892119198,0,2,1,2,1.317397330484816,16.12054943198291,0,0.0,directo
ES_41901,41901,Cañada Rosal,131.28329504,3394.0,0,0,0.0,0.0,0,0.0,0,0,0,0,18.322663417220582,18.67662943678441,0,0.0,aislado
ES_41903,41903,"Cuervo de Sevilla, El",283.81158441,8640.0,1,1,0.0035234643507552517,0.0,0,1.1574074074074074,0,1,1,6,3.1530614563540262,13.460820459607222,0,0.0,directo
ES_32048,32048,"Mezquita, A",9.67629847,1009.0,4,4,0.4133812131158868,0.25,1,39.64321110009911,0,0,4,4,5.083367500377659,11.501435587922183,0,0.0,directo
ES_32049,32049,Montederramo,5.08879664,690.0,0,0,0.0,0.0,0,0.0,0,0,0,0,16.984415074348608,16.984415074348608,0,0.0,aislado
ES_32052,32052,Nogueira de Ramuín,21.14828799,2079.0,0,0,0.0,0.0,0,0.0,0,0,0,0,35.24753787770211,,0,0.0,aislado
ES_32053,32053,Oímbra,24.05263004,1723.0,0,0,0.0,0.0,0,0.0,0,0,0,0,20.01141692820783,,0,0.0,aislado
ES_32054,32054,Ourense,1229.07661032,104187.0,0,0,0.0,0.0,0,0.0,0,0,0,0,55.147967984158605,,0,0.0,aislado
ES_46102,46102,Quart de Poblet,1299.26563623,25600.0,38,38,0.029247290885228282,0.868421052631579,33,14.84375,3,127,107,1067,0.2765898779248248,12.612879635814052,1,0.02631578947368421,directo
ES_46103,46103,Quartell,529.89727182,1688.0,1,1,0.0018871582345864359,1.0,1,5.924170616113744,0,18,10,36,1.5696164262024388,10.271892706172771,0,0.0,directo
ES_46104,46104,Quatretonda,50.80760827,2213.0,2,2,0.039364183202084034,1.0,2,9.03750564844103,0,4,4,22,3.6124049759330483,13.851326862290417,0,0.0,directo
ES_46106,46106,Chelva,8.7648665,1668.0,1,1,0.11409186894061649,0.0,0,5.995203836930456,0,1,1,3,2.4920318808093325,6.562480080424102,0,0.0,directo
ES_46108,46108,Chera,9.74408471,484.0,1,1,0.10262636561171687,1.0,1,20.66115702479339,0,1,1,1,1.6185313488557993,15.71979983543655,0,0.0,directo
ES_46110,46110,Xirivella,6004.4308673,30836.0,19,19,0.0031643298790354282,0.8947368421052632,17,6.161629264496043,9,441,86,1151,0.5144016215055492,8.367864750313526,0,0.0,directo
ES_46111,46111,Chiva,94.6454912,16873.0,33,33,0.34866954127023436,0.9696969696969697,32,19.5578735257512,0,10,49,119,3.245499690846926,13.619062788772517,0,0.0,directo
ES_46112,46112,Chulilla,11.06873445,684.0,0,0,0.0,0.0,0,0.0,0,0,0,8,7.3260380088502535,13.392012405855876,0,0.0,periferico
ES_46113,46113,Daimús,1083.68154142,3402.0,6,6,0.005536681922382761,1.0,6,17.636684303350968,6,43,9,48,0.45793385739516307,7.954457196274728,0,0.0,directo
ES_46114,46114,Domeño,9.95317903,683.0,0,0,0.0,0.0,0,0.0,0,0,0,9,10.62863132056081,16.731048280356468,0,0.0,periferico
ES_46115,46115,Dos Aguas,2.83066804,344.0,7,7,2.47291448558553,1.0,7,203.48837209302326,0,5,7,12,1.5516909659731875,15.694819932126796,0,0.0,directo
ES_46118,46118,Enguera,20.29416736,4911.0,0,0,0.0,0.0,0,0.0,0,0,0,4,13.834030286208813,15.744879747208508,0,0.0,periferico
ES_46119,46119,"Énova, l'",119.90526156,917.0,4,4,0.03335967035940637,0.25,1,43.62050163576881,0,7,5,10,1.7397872311752318,12.958077992007604,0,0.0,directo
ES_46120,46120,Estivella,76.33478981,1599.0,8,8,0.10480149378693887,0.625,5,50.03126954346467,0,17,9,33,2.224817785929302,14.597438969069351,0,0.0,directo
ES_46121,46121,Estubeny,17.76074998,114.0,0,0,0.0,0.0,0,0.0,0,1,0,9,3.8644538464717026,12.197203588750746,0,0.0,periferico
ES_46122,46122,Faura,2220.40871164,3628.0,3,3,0.0013511026074943615,1.0,3,8.26901874310915,2,15,10,18,0.4081411195537185,9.909547669971047,0,0.0,directo
ES_46124,46124,Fontanars dels Alforins,12.71774087,950.0,2,2,0.1572606346082911,1.0,2,21.05263157894737,2,2,2,2,0.3939395906355996,14.606962670620081,0,0.0,directo
ES_46125,46125,Fortaleny,219.62582292,1006.0,1,1,0.0045531986480672445,0.0,0,9.940357852882704,0,7,1,20,1.0236720563929063,13.859583263634297,0,0.0,directo
ES_46128,46128,"Font de la Figuera, la",24.06681392,2038.0,2,2,0.08310198461035011,1.0,2,9.813542688910696,0,2,2,3,2.899963938620393,13.593772222797424,0,0.0,directo
ES_46129,46129,Fuenterrobles,13.91162569,688.0,2,2,0.14376465012551673,1.0,2,29.069767441860463,2,2,2,4,0.9748892338816301,13.574243820799795,0,0.0,directo
ES_46130,46130,Gavarda,133.18646686,1060.0,1,1,0.007508270348902324,0.0,0,9.433962264150944,0,5,1,12,1.2051550901123944,14.19762347852292,0,0.0,directo
ES_46131,46131,Gandia,1280.12124606,77916.0,39,39,0.03046586416719159,0.28205128205128205,11,5.0053904204527955,0,18,45,69,3.7990518149339687,8.054169231775758,1,0.02564102564102564,directo
ES_46132,46132,"Genovés, el",183.09606971,2776.0,5,5,0.027308068425058715,0.4,2,18.011527377521613,2,5,5,38,0.4635630263439523,11.899494520210224,0,0.0,directo
ES_46133,46133,Gestalgar,8.1860408,571.0,6,6,0.7329550568572782,0.6666666666666666,4,105.07880910683012,0,6,6,8,3.358879264548012,13.032798667454802,0,0.0,directo
ES_46135,46135,Godella,1602.46695708,13451.0,5,5,0.0031201891420656516,0.0,0,3.717195747528065,0,278,98,819,1.5066902570140857,11.090665193435706,2,0.4,directo
ES_46136,46136,Godelleta,111.41431493,4171.0,20,20,0.17951014654235148,1.0,20,47.95013186286262,4,15,26,59,0.8244146508090495,12.418193040029012,0,0.0,directo
ES_46137,46137,"Granja de la Costera, la",392.74938369,292.0,0,0,0.0,0.0,0,0.0,0,44,8,46,1.2498577009524212,9.94966756339591,0,0.0,funcional
ES_46138,46138,Guadasséquies,147.62717102,482.0,1,1,0.006773820788481571,1.0,1,20.74688796680498,1,9,2,17,0.778801353056273,12.8070111394714,0,0.0,directo
ES_46139,46139,Guadassuar,168.22292994,5944.0,1,1,0.005944492824828753,0.0,0,1.6823687752355314,0,6,3,43,1.8597696020076688,12.428684919243585,0,0.0,directo
ES_46141,46141,Higueruelas,27.8261761,523.0,0,0,0.0,0.0,0,0.0,0,0,0,0,15.234597366191823,15.234597366191823,0,0.0,aislado
ES_46142,46142,Jalance,8.55618288,811.0,3,3,0.3506236416489499,0.6666666666666666,2,36.99136868064118,0,3,3,7,2.6147453224083055,8.233619361029975,0,0.0,directo
ES_46144,46144,Jarafuel,7.41837147,765.0,1,1,0.13480047528544697,1.0,1,13.071895424836601,0,1,1,7,4.171972588909968,10.289335131103735,0,0.0,directo
ES_46145,46145,Xàtiva,390.69218845,29982.0,31,31,0.07934635223444535,0.3548387096774194,11,10.339537055566673,2,33,40,78,0.5400338229955935,10.095087401065244,4,0.12903225806451613,directo
ES_46146,46146,Xeresa,133.96434562,2256.0,0,0,0.0,0.0,0,0.0,0,10,7,33,2.234221918965659,9.280959849936226,0,0.0,funcional
ES_46147,46147,Llíria,108.2730031,24675.0,22,22,0.2031900785062828,0.9545454545454546,21,8.915906788247215,0,0,40,97,8.240946305946075,15.824016289900404,0,0.0,directo
ES_46148,46148,Loriguilla,29.93927492,2170.0,0,0,0.0,0.0,0,0.0,0,0,1,18,6.735469830872822,15.060795373630933,0,0.0,funcional
