osm_id,source_type,name,lat,lon,tags
node/13084305616,node,Portada Alta,36.7193601,-4.4530406,"{'light_rail': 'yes', 'name': 'Portada Alta', 'operator': 'Metro de Málaga', 'public_transport': 'stop_position', 'railway': 'stop', 'wheelchair': 'yes'}"
node/13084305617,node,Ciudad de la Justicia,36.7180499,-4.463278,"{'light_rail': 'yes', 'name': 'Ciudad de la Justicia', 'operator': 'Metro de Málaga', 'public_transport': 'stop_position', 'railway': 'stop', 'wheelchair': 'yes'}"
node/13274319391,node,Almogía - Nicolás Isidro,36.7152243,-4.4536135,"{'bench': 'yes', 'bus': 'yes', 'highway': 'bus_stop', 'name': 'Almogía - Nicolás Isidro', 'network': 'Consorcio de Transporte Metropolitano del Área de Málaga', 'network:short': 'CTMAM', 'operator': 'EMTSAM', 'public_transport': 'platform', 'ref': '3169', 'shelter': 'yes'}"
node/13274319392,node,Almogía - Nicolás Isidro,36.7152093,-4.4536645,"{'bench': 'yes', 'bus': 'yes', 'name': 'Almogía - Nicolás Isidro', 'network': 'Consorcio de Transporte Metropolitano del Área de Málaga', 'network:short': 'CTMAM', 'operator': 'EMTSAM', 'public_transport': 'stop_position', 'ref': '3169', 'shelter': 'yes'}"
node/13274353338,node,Avenida Jorge Luis Borges - Sandro Botticelli,36.7200074,-4.4609635,"{'bus': 'yes', 'name': 'Avenida Jorge Luis Borges - Sandro Botticelli', 'network': 'Consorcio de Transporte Metropolitano del Área de Málaga', 'network:short': 'CTMAM', 'operator': 'EMTSAM', 'public_transport': 'stop_position', 'ref': '1423'}"
node/13274353339,node,Avenida Jorge Luis Borges - Sandro Botticelli,36.7200661,-4.4609595,"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Avenida Jorge Luis Borges - Sandro Botticelli', 'network': 'Consorcio de Transporte Metropolitano del Área de Málaga', 'network:short': 'CTMAM', 'network:wikidata': 'Q6949617', 'operator': 'EMTSAM', 'public_transport': 'platform', 'ref': '1423'}"
node/247377447,node,Veredas-Brazatortas,38.6690431,-4.317236,"{'name': 'Veredas-Brazatortas', 'railway': 'station'}"
node/247378681,node,Puertollano,38.6912769,-4.1118577,"{'name': 'Puertollano', 'operator': 'Renfe', 'public_transport': 'stop_position', 'train': 'yes', 'wheelchair': 'yes'}"
node/834718320,node,"Avenida Andalucía, 32",37.7776236,-3.7957762,"{'bench': 'yes', 'bin': 'yes', 'bus': 'yes', 'highway': 'bus_stop', 'lit': 'yes', 'name': 'Avenida Andalucía, 32', 'network': 'Transporte Urbano de Jaén', 'public_transport': 'platform', 'ref': '34230', 'shelter': 'yes', 'tactile_paving': 'yes'}"
node/917097611,node,El Valle,37.7832096,-3.7838016,"{'name': 'El Valle', 'network': 'Tranvía de Jaén', 'operator': 'Tranvía de Jaén', 'public_transport': 'stop_position', 'railway': 'tram_stop', 'ref': '6', 'tram': 'yes'}"
node/917097890,node,Universidad,37.7898346,-3.7816861,"{'name': 'Universidad', 'network': 'Tranvía de Jaén', 'operator': 'Tranvía de Jaén', 'public_transport': 'stop_position', 'railway': 'tram_stop', 'ref': '7', 'tram': 'yes'}"
node/1154139860,node,"Virgen de la Cabeza, 1",37.7753812,-3.7863768,"{'bench': 'yes', 'bin': 'no', 'bus': 'yes', 'highway': 'bus_stop', 'name': 'Virgen de la Cabeza, 1', 'network': 'Transporte Urbano de Jaén', 'public_transport': 'platform', 'ref': '34456', 'shelter': 'yes'}"
node/1170614331,node,,37.944271,-3.5672064,{'public_transport': 'stop_position'}
node/1196648212,node,,37.9852579,-3.5315687,"{'bus': 'yes', 'public_transport': 'stop_position'}"
node/1266720071,node,"Doctor Eduardo García Maroto,9",37.7778518,-3.7923965,"{'bench': 'no', 'bin': 'yes', 'bus': 'yes', 'highway': 'bus_stop', 'name': 'Doctor Eduardo García Maroto,9', 'network': 'Transporte Urbano de Jaén', 'public_transport': 'platform', 'ref': '34309', 'shelter': 'no'}"
node/1266720091,node,"Avenida Andalucía, 10",37.7773326,-3.7926899,"{'bench': 'yes', 'bin': 'yes', 'bus': 'yes', 'highway': 'bus_stop', 'name': 'Avenida Andalucía, 10', 'network': 'Transporte Urbano de Jaén', 'public_transport': 'platform', 'ref': '34211', 'shelter': 'yes'}"
node/1279886782,node,Donantes de Sangre,37.7795838,-3.7854273,"{'name': 'Donantes de Sangre', 'network': 'Tranvía de Jaén', 'operator': 'Tranvía de Jaén', 'public_transport': 'stop_position', 'railway': 'tram_stop', 'ref': '5', 'tram': 'yes'}"
node/1279886937,node,Estación de Jaén,37.7794959,-3.7900348,"{'name': 'Estación de Jaén', 'network': 'Tranvía de Jaén', 'operator': 'Tranvía de Jaén', 'public_transport': 'stop_position', 'railway': 'tram_stop', 'ref': '4', 'tram': 'yes', 'wikidata': 'Q137825357'}"
node/1286147320,node,Los Olivares,37.799523,-3.7785207,"{'bus': 'yes', 'name': 'Los Olivares', 'network': 'Tranvía de Jaén', 'operator': 'Tranvía de Jaén', 'public_transport': 'stop_position', 'railway': 'tram_stop', 'ref': '9', 'tram': 'yes'}"
node/1286147334,node,Ciudad Sanitaria,37.79533,-3.7797445,"{'name': 'Ciudad Sanitaria', 'network': 'Tranvía de Jaén', 'operator': 'Tranvía de Jaén', 'public_transport': 'stop_position', 'railway': 'tram_stop', 'ref': '8', 'tram': 'yes'}"
node/1286156459,node,Vaciacostales,37.8029881,-3.7775118,"{'name': 'Vaciacostales', 'network': 'Tranvía de Jaén', 'operator': 'Tranvía de Jaén', 'public_transport': 'stop_position', 'railway': 'tram_stop', 'ref': '10', 'tram': 'yes'}"
node/1286156470,node,Paseo de la Estación,37.7694678,-3.7882118,"{'name': 'Paseo de la Estación', 'network': 'Tranvía de Jaén', 'operator': 'Tranvía de Jaén', 'public_transport': 'stop_position', 'railway': 'tram_stop', 'ref': '1', 'tram': 'yes'}"
node/1566527951,node,Andújar,38.0279986,-4.0659601,"{'name': 'Andújar', 'public_transport': 'stop_position', 'railway': 'stop', 'train': 'yes'}"
node/1738129667,node,"Calle Goya, 29",37.7790561,-3.7936314,"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Calle Goya, 29', 'network': 'Transporte Urbano de Jaén', 'public_transport': 'platform', 'ref': '34253'}"
node/1738129727,node,"Avenida Barcelona, 9",37.7803068,-3.7979819,"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Avenida Barcelona, 9', 'network': 'Transporte Urbano de Jaén', 'public_transport': 'platform', 'ref': '34235'}"
node/1738130167,node,"Avenida Barcelona, 57",37.7805549,-3.8026544,"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Avenida Barcelona, 57', 'network': 'Transporte Urbano de Jaén', 'public_transport': 'platform', 'ref': '34220', 'shelter': 'yes'}"
node/1738131193,node,"Fuente de Buenora, 1",37.7807944,-3.8051139,"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Fuente de Buenora, 1', 'network': 'Transporte Urbano de Jaén', 'public_transport': 'platform', 'ref': '34337'}"
node/1738131195,node,"Fuente de la Plata, 5",37.7791599,-3.8054546,"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Fuente de la Plata, 5', 'network': 'Transporte Urbano de Jaén', 'public_transport': 'platform', 'ref': '34215'}"
node/1738147015,node,Avenida A. Pascual -Ferretería,37.7850465,-3.7801837,"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Avenida A. Pascual -Ferretería', 'network': 'Transporte Urbano de Jaén', 'public_transport': 'platform', 'ref': '34299'}"
