cod_prov,cod_muni,municipio,year,population
,,Abaurrepea/Abaurrea Baja. Hombres. Total habitantes. Personas. ,2024,18.0
,,Abaurrepea/Abaurrea Baja. Hombres. Total habitantes. Personas. ,2023,18.0
,,Abaurrepea/Abaurrea Baja. Hombres. Total habitantes. Personas. ,2022,19.0
,,Abaurrepea/Abaurrea Baja. Hombres. Total habitantes. Personas. ,2021,19.0
,,Abaurrepea/Abaurrea Baja. Hombres. Total habitantes. Personas. ,2020,18.0
,,Abaurrepea/Abaurrea Baja. Mujeres. Total habitantes. Personas. ,2024,11.0
,,Abaurrepea/Abaurrea Baja. Mujeres. Total habitantes. Personas. ,2023,11.0
,,Abaurrepea/Abaurrea Baja. Mujeres. Total habitantes. Personas. ,2022,12.0
,,Abaurrepea/Abaurrea Baja. Mujeres. Total habitantes. Personas. ,2021,10.0
,,Abaurrepea/Abaurrea Baja. Mujeres. Total habitantes. Personas. ,2020,13.0
,,Abegondo. Total. Total habitantes. Personas. ,2024,5578.0
,,Abegondo. Total. Total habitantes. Personas. ,2023,5584.0
,,Abegondo. Total. Total habitantes. Personas. ,2022,5534.0
,,Abegondo. Total. Total habitantes. Personas. ,2021,5494.0
,,Abegondo. Total. Total habitantes. Personas. ,2020,5398.0
,,Abegondo. Hombres. Total habitantes. Personas. ,2024,2784.0
,,Abegondo. Hombres. Total habitantes. Personas. ,2023,2763.0
,,Abegondo. Hombres. Total habitantes. Personas. ,2022,2729.0
,,Abegondo. Hombres. Total habitantes. Personas. ,2021,2701.0
,,Abegondo. Hombres. Total habitantes. Personas. ,2020,2665.0
,,Abegondo. Mujeres. Total habitantes. Personas. ,2024,2794.0
,,Abegondo. Mujeres. Total habitantes. Personas. ,2023,2821.0
,,Abegondo. Mujeres. Total habitantes. Personas. ,2022,2805.0
,,Abegondo. Mujeres. Total habitantes. Personas. ,2021,2793.0
,,Abegondo. Mujeres. Total habitantes. Personas. ,2020,2733.0
,,Abejar. Total. Total habitantes. Personas. ,2024,386.0
,,Abejar. Total. Total habitantes. Personas. ,2023,376.0
,,Abejar. Total. Total habitantes. Personas. ,2022,273.0
,,Abejar. Total. Total habitantes. Personas. ,2021,273.0
,,Abejar. Total. Total habitantes. Personas. ,2020,286.0
,,Abejar. Hombres. Total habitantes. Personas. ,2024,199.0
,,Abejar. Hombres. Total habitantes. Personas. ,2023,189.0
,,Abejar. Hombres. Total habitantes. Personas. ,2022,141.0
,,Abejar. Hombres. Total habitantes. Personas. ,2021,142.0
,,Abejar. Hombres. Total habitantes. Personas. ,2020,151.0
,,Abejar. Mujeres. Total habitantes. Personas. ,2024,187.0
,,Abejar. Mujeres. Total habitantes. Personas. ,2023,187.0
,,Abejar. Mujeres. Total habitantes. Personas. ,2022,132.0
,,Abejar. Mujeres. Total habitantes. Personas. ,2021,131.0
,,Abejar. Mujeres. Total habitantes. Personas. ,2020,135.0
,,Abejuela. Total. Total habitantes. Personas. ,2024,57.0
,,Abejuela. Total. Total habitantes. Personas. ,2023,55.0
,,Abejuela. Total. Total habitantes. Personas. ,2022,56.0
,,Abejuela. Total. Total habitantes. Personas. ,2021,57.0
,,Abejuela. Total. Total habitantes. Personas. ,2020,50.0
,,Abejuela. Hombres. Total habitantes. Personas. ,2024,37.0
,,Abejuela. Hombres. Total habitantes. Personas. ,2023,35.0
,,Abejuela. Hombres. Total habitantes. Personas. ,2022,34.0
,,Abejuela. Hombres. Total habitantes. Personas. ,2021,36.0
,,Abejuela. Hombres. Total habitantes. Personas. ,2020,31.0
,,Abejuela. Mujeres. Total habitantes. Personas. ,2024,20.0
,,Abejuela. Mujeres. Total habitantes. Personas. ,2023,20.0
