PROV_NAME,SOG_ID,LAU_ID,LAU_NAME,AREA_KM2,POP_2023,stations_count,stations_unique,stations_density_km2,stations_with_operator_share,operator_count,stations_per_10k_pop,stations_within_1km_count,stations_within_5km_count,stations_in_muni_plus_1km_count,stations_in_muni_plus_5km_count,min_distance_km_to_station,mean_distance_km_to_station,accessible_count,accessible_share,category_connectivity,INE_PROV_CODE
Guadalajara,ES_19246,19246,Saelices de la Sal,2.4830,48.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,25.3120,0.0000,0,0.0000,aislado,19
Guadalajara,ES_19259,19259,Somolinos,1.8970,28.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,79.9910,0.0000,0,0.0000,aislado,19
Guadalajara,ES_19269,19269,"Toba, La",2.0210,74.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,66.9810,0.0000,0,0.0000,aislado,19
Segovia,ES_40150,40150,Orejana,2.9630,62.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,58.8090,0.0000,0,0.0000,aislado,40
Segovia,ES_40160,40160,Pinarnegrillo,5.0720,99.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,26.2220,0.0000,0,0.0000,aislado,40
Segovia,ES_40174,40174,Sacramenia,8.0530,358.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,61.8780,0.0000,0,0.0000,aislado,40
Segovia,ES_40184,40184,San Pedro de Gaíllos,11.8900,310.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,68.7690,0.0000,0,0.0000,aislado,40
Segovia,ES_40199,40199,Sotosalbos,5.7130,137.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,39.6010,0.0000,0,0.0000,aislado,40
Segovia,ES_40210,40210,Urueñas,3.0410,100.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,75.3440,0.0000,0,0.0000,aislado,40
Segovia,ES_40221,40221,Valleruela de Sepúlveda,3.3730,54.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,64.0080,0.0000,0,0.0000,aislado,40
